# MVA / chromosomal-instability disease panel. Track 1, Rare Disease Real Kid: MVA Hackathon 2026.
# EVERY gene-disease link, identifier and citation in this file was read out of a curated file on disk.
# Sources and their snapshot dates, plus every point where they disagree, are in mva_panel_sources.md.
#   DDG2P (EBI Gene2Phenotype) downloaded 2026-08-27 | ClinGen gene validity, file created 2026-08-27
#   HPO phenotype.hpoa / phenotype_to_genes.txt v2026-06-23 | MANE GRCh38 v1.5 | ClinVar VCF fileDate 2026-08-22
# panel_tier: 1 = established MVA phenotype series and the Orphanet MVA gene set; 2 = broader
#   chromosomal-instability, DNA-repair, centrosome, microcephaly and growth differential; 3 = off-panel (genome-wide).
# evidence_tier is the STRONGEST curated classification found (DDG2P confidence, else ClinGen, else limited/candidate).
#   "candidate" means NO curated gene-disease validity exists in any source above: mechanism only, do not report as causal.
# An empty citation field is deliberate and means no citation exists in the downloaded sources. It is never a placeholder.
# version: 2026-08-28-a
gene_symbol	gene_symbol_aliases	hgnc_id	ensembl_gene_id	ncbi_gene_id	grch38_contig	gene_omim	disease_name	disease_omim	disease_mondo	inheritance	allelic_requirement	mechanism_class	evidence_tier	panel_tier	ddg2p_confidence	clingen_classification	clinvar_plp_n	citation	citation_source	notes
PLK4	SAK|STK18	HGNC:11397	ENSG00000142731	10733	chr4	OMIM:605031	PLK4-related microcephaly, growth failure and retinopathy	OMIM:616171	MONDO:0014516	autosomal_recessive	biallelic_autosomal	centrosome_centriole	definitive	2	definitive	absent	34	PMID:25344692	DDG2P.publications	Centriole duplication master kinase. Microcephaly, growth failure, retinopathy.
RTTN	DKFZP434G145	HGNC:18654	ENSG00000176225	25914	chr18	OMIM:610436	RTTN-related bilateral diffuse polymicrogyria	OMIM:614833	MONDO:0018764	autosomal_recessive	biallelic_autosomal	centrosome_centriole	definitive	2	definitive	Definitive (microcephalic primordial dwarfism due to RTTN deficiency; AR; 2024-10-24)	85	PMID:22939636;PMID:26608784;PMID:29883675	DDG2P.publications	Microcephalic primordial dwarfism / polymicrogyria.
TUBGCP6	DJ402G11.6|GCP6|KIAA1669	HGNC:18127	ENSG00000128159	85378	chr22	OMIM:610053	TUBGCP6-related microcephaly with chorioretinopathy with or without developmental delay	OMIM:251270	MONDO:0009624	autosomal_recessive	biallelic_autosomal	centrosome_centriole	definitive	2	definitive	Definitive (microcephaly and chorioretinopathy 1; AR; 2023-06-05)	137	PMID:22279524;PMID:25344692;PMID:11146476	DDG2P.publications+phenotype.hpoa.reference	Gamma-tubulin ring complex; MCCRP1.
CEP135	CEP4|FLJ13621|KIAA0635	HGNC:29086	ENSG00000174799	9662	chr4	OMIM:611423	CEP135-related primary microcephaly and disturbed centrosomal function	OMIM:614673	MONDO:0013849	autosomal_recessive	biallelic_autosomal	centrosome_centriole	strong	2	strong	absent	58	PMID:22521416	DDG2P.publications	MCPH8.
CEP63	FLJ13386	HGNC:25815	ENSG00000182923	80254	chr3	OMIM:614724	CEP63-related Seckel syndrome	OMIM:614728	MONDO:0013871	autosomal_recessive	biallelic_autosomal	centrosome_centriole	strong	2	strong	absent	45	PMID:21983783	DDG2P.publications	Seckel 6.
STIL	MCPH7|SIL	HGNC:10879	ENSG00000123473	6491	chr1	OMIM:181590	STIL-related primary microcephaly	OMIM:612703	MONDO:0012989	autosomal_recessive	biallelic_autosomal	centrosome_centriole	strong	2	strong	Definitive (autosomal recessive primary microcephaly; AR; 2023-03-28)	29	PMID:19215732;PMID:25218063	DDG2P.publications+phenotype.hpoa.reference	MCPH7.
TUBGCP4	76P|FLJ14797|GCP4	HGNC:16691	ENSG00000137822	27229	chr15	OMIM:609610	TUBGCP4-related microcephaly with chorioretinopathy	OMIM:616335	MONDO:0014592	autosomal_recessive	biallelic_autosomal	centrosome_centriole	strong	2	strong	absent	45	PMID:25817018	DDG2P.publications	Gamma-tubulin ring complex; microcephaly with chorioretinopathy.
SASS6	DKFZP761A078|FLJ22097|SAS-6|SAS6	HGNC:25403	ENSG00000156876	163786	chr1	OMIM:609321	SASS6-related severe microcephaly with brain abnormalities	OMIM:616402	MONDO:0014623	autosomal_recessive	biallelic_autosomal	centrosome_centriole	moderate	2	moderate	absent	7	PMID:24951542;PMID:30639237;PMID:36739862;PMID:38501757	DDG2P.publications	MCPH14.
CEP295		HGNC:29366	ENSG00000166004	85459	chr11		Seckel syndrome 11	OMIM:620767		autosomal_recessive	biallelic_autosomal	centrosome_centriole	limited	2	absent	absent	7	PMID:38154379	phenotype.hpoa.reference	Seckel syndrome 11; also listed under ORPHA:808. Absent from DDG2P and ClinGen.
NIN		HGNC:14906	ENSG00000100503	51199	chr14		Seckel syndrome 7	OMIM:614851		autosomal_recessive	biallelic_autosomal	centrosome_centriole	limited	2	absent	absent	7	PMID:22933543	phenotype.hpoa.reference	Seckel syndrome 7; also listed under ORPHA:808. Absent from DDG2P and ClinGen.
DNMT3B		HGNC:2979	ENSG00000088305	1789	chr20	OMIM:602900	DNMT3B-related immunodeficiency-centromeric instability-facial anomalies syndrome	OMIM:242860	MONDO:0009454	autosomal_recessive	biallelic_autosomal	chromatin_centromere	definitive	2	definitive	Definitive (immunodeficiency-centromeric instability-facial anomalies syndrome 1; AR; 2023-04-16)	42	PMID:10555141;PMID:10647011;PMID:12239717;PMID:10588719	DDG2P.publications+phenotype.hpoa.reference	ICF1: immunodeficiency, centromeric instability, facial anomalies. Pericentromeric hypomethylation causes visible centromere decondensation.
ZBTB24		HGNC:21143	ENSG00000112365	9841	chr6		Immunodeficiency-Centromeric instability-facial anomalies syndrome2	OMIM:614069	MONDO:0013553	autosomal_recessive	not_curated	chromatin_centromere	definitive	2	absent	Definitive (immunodeficiency-centromeric instability-facial anomalies syndrome 2; AR; 2025-07-17)	54	PMID:21596365	phenotype.hpoa.reference	ICF2.
CDCA7		HGNC:14628	ENSG00000144354	83879	chr2		Immunodeficiency-Centromeric instability-facial anomalies syndrome 3	OMIM:616910	MONDO:0014828	autosomal_recessive	not_curated	chromatin_centromere	moderate	2	absent	Moderate (immunodeficiency-centromeric instability-facial anomalies syndrome 3; AR; 2026-04-16)	3	PMID:26216346	phenotype.hpoa.reference	ICF3.
HELLS		HGNC:4861	ENSG00000119969	3070	chr10		Immunodeficiency-centromeric instability-facial anomalies syndrome 4	OMIM:616911	MONDO:0014829	autosomal_recessive	not_curated	chromatin_centromere	moderate	2	absent	Moderate (immunodeficiency-centromeric instability-facial anomalies syndrome 4; AR; 2025-06-16)	20	PMID:26216346	phenotype.hpoa.reference	ICF4.
ESCO2	EFO2|RBS	HGNC:27230	ENSG00000171320	157570	chr8	OMIM:609353	ESCO2-related Roberts syndrome	OMIM:268300	MONDO:0100253	autosomal_recessive	biallelic_autosomal	cohesion_condensation	definitive	2	definitive	Definitive (Roberts-SC phocomelia syndrome; AR; 2021-03-19)	155	PMID:15821733;PMID:3740099;PMID:495649;PMID:16380922	DDG2P.publications+phenotype.hpoa.reference	Roberts/SC phocomelia. Cytogenetic hallmark is premature centromere separation - the closest phenocopy of MVA on a karyotype.
HDAC8	HDACL1|KDAC8|MRXS6|RPD3|WTS	HGNC:13315	ENSG00000147099	55869	chrX	OMIM:300269	HDAC8-related Cornelia de Lange syndrome	OMIM:300882	MONDO:0010471	x_linked	monoallelic_X_hemizygous	cohesion_condensation	definitive	2	definitive	Definitive (Cornelia de Lange syndrome; XL; 2018-09-11)	98	PMID:22885700;PMID:24403048;PMID:26671848	DDG2P.publications	CdLS5, X-linked.
NIPBL	DKFZP434L1319|FLJ11203|FLJ12597|FLJ13354|FLJ13648|IDN3|SCC2	HGNC:28862	ENSG00000164190	25836	chr5	OMIM:608667	NIPBL-related Cornelia de Lange syndrome	OMIM:122470	MONDO:0007387	autosomal_dominant	monoallelic_autosomal	cohesion_condensation	definitive	2	definitive	Definitive (Cornelia de Lange syndrome; AD; 2025-08-11)	594	PMID:11391654;PMID:15146185;PMID:15146186;PMID:15318302;PMID:16799922;PMID:35446447;PMID:19764039;PMID:20358602;PMID:21165303;PMID:22241092;PMID:23304577;PMID:25447906;PMID:30246735;PMID:31337854;PMID:32074972;PMID:36777704;PMID:38284454	DDG2P.publications+phenotype.hpoa.reference	Cornelia de Lange 1. Dominant, usually de novo - not a compound-het model.
RAD21	HHR21|KIAA0078|SCC1	HGNC:9811	ENSG00000164754	5885	chr8	OMIM:606462	RAD21-related cohesinopathy	OMIM:614701	MONDO:0013864	autosomal_dominant	monoallelic_autosomal	cohesion_condensation	definitive	2	definitive	Definitive (Cornelia de Lange syndrome; AD; 2020-01-08)	59	PMID:22633399;PMID:24378232;PMID:27882533;PMID:30125677;PMID:30716475;PMID:32193685;PMID:31334757;PMID:32696056	DDG2P.publications+phenotype.hpoa.reference	CdLS4, dominant.
SMC1A	DXS423E|KIAA0178|SB1.8|SMC1L1|SMCB	HGNC:11111	ENSG00000072501	8243	chrX	OMIM:300040	SMC1A-related Cornelia de Lange syndrome	OMIM:300590	MONDO:0010370	x_linked	monoallelic_X_heterozygous	cohesion_condensation	definitive	2	definitive	Definitive (X-linked complex neurodevelopmental disorder; XL; 2019-06-19)	225	PMID:16604071;PMID:17273969;PMID:19701948;PMID:20635401;PMID:22106055;PMID:23863341;PMID:24124034;PMID:26354354;PMID:28102598;PMID:28548707;PMID:31905481;PMID:32532882;PMID:32648047;PMID:34729759;PMID:35396801;PMID:36246631;PMID:20358602	DDG2P.publications+phenotype.hpoa.reference	X-linked CdLS2; also SMC1A epileptic encephalopathy OMIM:301044.
SMC3	BAM|BAMACAN|CSPG6|HCAP|SMC3L1	HGNC:2468	ENSG00000108055	9126	chr10	OMIM:606062	SMC3-related Cornelia de Lange syndrome	OMIM:610759	MONDO:0012555	autosomal_dominant	monoallelic_autosomal	cohesion_condensation	definitive	2	definitive	Definitive (Cornelia de Lange syndrome; AD; 2020-04-07)	81	PMID:17273969;PMID:20358602;PMID:25125236;PMID:25655089;PMID:28781842	DDG2P.publications+phenotype.hpoa.reference	CdLS3, dominant.
STAG2	SA-2|SA2|SCC3B	HGNC:11355	ENSG00000101972	10735	chrX	OMIM:300826	STAG2-related developmental delay with microcephaly and congenital anomalies	OMIM:301022	MONDO:0026722	x_linked	monoallelic_X_hemizygous	cohesion_condensation	definitive	2	definitive	absent	47	PMID:28296084;PMID:29263825;PMID:30158690	DDG2P.publications	X-linked, developmental delay with microcephaly.
NCAPD2	CAP-D2|CNAP1|HCAP-D2|KIAA0159	HGNC:24305	ENSG00000010292	9918	chr12	OMIM:615638	NCAPD2-related microcephaly with short stature			autosomal_recessive	biallelic_autosomal	cohesion_condensation	limited	2	limited	absent	11	PMID:27737959	DDG2P.publications	Condensin I. DDG2P limited.
NCAPD3	CAP-D3|FLJ42888|HCAP-D3|HCP-6|HHCP-6|KIAA0056	HGNC:28952	ENSG00000151503	23310	chr11	OMIM:609276	NCAPD3-related microcephaly with short stature			autosomal_recessive	biallelic_autosomal	cohesion_condensation	limited	2	limited	absent	11	PMID:27737959	DDG2P.publications	Condensin II. DDG2P limited.
NCAPH	BRRN1|CAP-H|HCAP-H|NCAPH1	HGNC:1112	ENSG00000121152	23397	chr2	OMIM:602332	NCAPH-related microcephaly	OMIM:617985	MONDO:0054806	autosomal_recessive	biallelic_autosomal	cohesion_condensation	limited	2	limited	absent	2	PMID:27737959	DDG2P.publications	Condensin I. DDG2P limited.
ESPL1		HGNC:16856	ENSG00000135476	9700	chr12					not_curated	not_curated	cohesion_condensation	candidate	2	absent	absent	0		none: absent from DDG2P 2026-08-27, ClinGen 2026-08-27, HPO 2026-06-23	Separase; cleaves cohesin at anaphase onset.
CIT	CITK|CRIK|KIAA0949|STK21	HGNC:1985	ENSG00000122966	11113	chr12	OMIM:605629	CIT-related primary microcephaly	OMIM:617090	MONDO:0014908	autosomal_recessive	biallelic_autosomal	cytokinesis	strong	2	strong	absent	25	PMID:27453578	DDG2P.publications	Citron kinase; MCPH17, cytokinesis failure gives tetraploid/binucleate cells.
BLM	BS|RECQ2|RECQL3	HGNC:1058	ENSG00000197299	641	chr15	OMIM:604610	BLM-related Bloom syndrome	OMIM:210900	MONDO:0008876	autosomal_recessive	biallelic_autosomal	dna_damage_response	definitive	2	definitive	Definitive (Bloom syndrome; AR; 2019-04-19)	591	PMID:10678659;PMID:7585968;PMID:8875252;PMID:29098565;PMID:34177791	DDG2P.publications+phenotype.hpoa.reference	Bloom syndrome. Elevated sister chromatid exchange, growth restriction, cancer.
LIG4		HGNC:6601	ENSG00000174405	3981	chr13	OMIM:601837	LIG4-related syndrome	OMIM:606593	MONDO:0011686	autosomal_recessive	biallelic_autosomal	dna_damage_response	definitive	2	definitive	Definitive (DNA ligase IV deficiency; AR; 2021-04-16)	112	PMID:11779494;PMID:16357942;PMID:16088910	DDG2P.publications+phenotype.hpoa.reference	LIG4 syndrome: microcephaly, growth restriction, immunodeficiency, radiosensitivity.
NBN	AT-V1|AT-V2|ATV|NBS|NBS1	HGNC:7652	ENSG00000104320	4683	chr8	OMIM:602667	NBN-related Nijmegen breakage syndrome	OMIM:251260	MONDO:0009623	autosomal_recessive	biallelic_autosomal	dna_damage_response	definitive	2	definitive	Definitive (Nijmegen breakage syndrome; AR; 2022-06-21)	532	PMID:3802554;PMID:9590180;PMID:19635536;PMID:22373003;PMID:32843899;PMID:38761025;PMID:7545870	DDG2P.publications+phenotype.hpoa.reference	Nijmegen breakage. Microcephaly, immunodeficiency, chromosome breakage.
RBBP8	COM1|CTIP|RIM|SCKL2	HGNC:9891	ENSG00000101773	5932	chr18	OMIM:604124	RBBP8-related microcephaly and intellectual disability	OMIM:251255	MONDO:0009622	autosomal_recessive	biallelic_autosomal	dna_damage_response	definitive	2	definitive	absent	13	PMID:21998596;PMID:26333564;PMID:34270086;PMID:18071751	DDG2P.publications+phenotype.hpoa.reference	Seckel 2 / Jawad syndrome (CtIP).
RECQL4	RECQ4	HGNC:9949	ENSG00000160957	9401	chr8	OMIM:603780	RECQL4-related Baller-Gerold syndrome	OMIM:218600	MONDO:0009039	autosomal_recessive	biallelic_autosomal	dna_damage_response	definitive	2	definitive	Definitive (Rothmund-Thomson syndrome; AR; 2018-10-11)	389	PMID:10319867;PMID:10678659;PMID:11754069;PMID:12734318;PMID:12838562;PMID:12952869;PMID:15964893;PMID:17372760;PMID:18616953;PMID:18647888;PMID:20503338;PMID:23899764;PMID:24518840;PMID:24635570;PMID:25966250;PMID:26515231;PMID:29224249;PMID:29367366;PMID:29462647;PMID:30007837;PMID:32482547;PMID:34155702;PMID:9878247;PMID:9934984;PMID:1583650	DDG2P.publications+phenotype.hpoa.reference	DDG2P labels this entry Baller-Gerold; ClinGen curates RECQL4 as Definitive for Rothmund-Thomson.
XRCC4	HXRCC4	HGNC:12831	ENSG00000152422	7518	chr5	OMIM:194363	XRCC4-related primordial dwarfism	OMIM:616541	MONDO:0014686	autosomal_recessive	biallelic_autosomal	dna_damage_response	definitive	2	definitive	Limited (hereditary nonpolyposis colon cancer; AD; 2017-05-08)	22	PMID:25728776;PMID:25872942	DDG2P.publications+phenotype.hpoa.reference	Primordial dwarfism with microcephaly.
ATR	FRP1|MEC1|SCKL|SCKL1	HGNC:882	ENSG00000175054	545	chr3	OMIM:601215	ATR-related Seckel syndrome	OMIM:210600	MONDO:0008869	autosomal_recessive	biallelic_autosomal	dna_damage_response	strong	2	strong	absent	138	PMID:10889046;PMID:12640452;PMID:23111928;PMID:30199583	DDG2P.publications	Seckel 1.
TRAIP	RNF206|TRIP	HGNC:30764	ENSG00000183763	10293	chr3	OMIM:605958	TRAIP-related primordial dwarfism	OMIM:616777	MONDO:0014767	autosomal_recessive	biallelic_autosomal	dna_damage_response	strong	2	strong	absent	13	PMID:26595769	DDG2P.publications	Primordial dwarfism; replication-fork ubiquitin ligase.
NSMCE2		HGNC:26513	ENSG00000156831	286053	chr8		Seckel syndrome 10	OMIM:617253	MONDO:0014991	autosomal_recessive	not_curated	dna_damage_response	moderate	2	absent	Moderate (Seckel syndrome 10; AR; 2025-02-05)	7	PMID:25105364	phenotype.hpoa.reference	SMC5/6 complex; ClinGen Moderate for Seckel syndrome 10.
SLF2	C10ORF6|FAM178A|FLJ10512|FLJ25012	HGNC:17814	ENSG00000119906	55719	chr10	OMIM:610348	SLF2-related developmental disorder	OMIM:620184	MONDO:0859575	autosomal_recessive	biallelic_autosomal	dna_damage_response	moderate	2	moderate	absent	8	PMID:36333305	DDG2P.publications	SMC5/6 recruitment; DDG2P moderate.
SMC5	KIAA0594|SMC5L1	HGNC:20465	ENSG00000198887	23137	chr9	OMIM:609386	SMC5-related developmental disorder	OMIM:620185	MONDO:0859576	autosomal_recessive	biallelic_autosomal	dna_damage_response	moderate	2	moderate	absent	5	PMID:36333305	DDG2P.publications	SMC5/6 complex; DDG2P moderate.
ATRIP		HGNC:33499	ENSG00000164053	84126	chr3		hereditary breast carcinoma		MONDO:0016419	autosomal_dominant	not_curated	dna_damage_response	limited	2	absent	Limited (hereditary breast carcinoma; AD; 2024-08-29)	81	ORPHA:808	phenotype_to_genes.disease_id	Orphanet lists ATRIP under ORPHA:808 Seckel syndrome. ClinGen only curates a Limited AD breast-cancer link. ClinVar P/LP count is inflated by the shared ATRIP/TREX1 locus annotation.
DNA2	DNA2L|KIAA0083	HGNC:2939	ENSG00000138346	1763	chr10	OMIM:601810	DNA2-related microcephalic primordial dwarfism with or without poikiloderma and cataracts	OMIM:615807	MONDO:0014350	autosomal_recessive	biallelic_autosomal	dna_damage_response	limited	2	limited	Moderate (mitochondrial disease; AD; 2026-02-09)	19	PMID:24389050;PMID:31045292;PMID:37055165	DDG2P.publications	DDG2P limited for microcephalic primordial dwarfism; ClinGen curates only an AD mitochondrial-disease link.
NSMCE3	HCA4|MAGEG1|MAGEL3|NDNL2|NSE3	HGNC:7677	ENSG00000185115	56160	chr15	OMIM:608243	NSMCE3-related distinct DNA breakage syndrome		MONDO:0014984	autosomal_recessive	biallelic_autosomal	dna_damage_response	limited	2	limited	Limited (lung disease, immunodeficiency, and chromosome breakage syndrome;; AR; 2026-01-15)	2	PMID:27427983;PMID:33741030;PMID:40728043	DDG2P.publications	Lung disease, immunodeficiency and chromosome breakage syndrome. DDG2P limited, ClinGen Limited.
NUP85		HGNC:8734	ENSG00000125450	79902	chr17		Nephrotic syndrome, type 17	OMIM:618176		autosomal_recessive	biallelic_autosomal	dna_damage_response	limited	2	absent	absent	4	PMID:30179222	phenotype.hpoa.reference	Listed under ORPHA:808 Seckel syndrome by Orphanet, but its only OMIM link is nephrotic syndrome 17 - so no Seckel OMIM id is asserted here.
RAD50	HRAD50|RAD50-2	HGNC:9816	ENSG00000113522	10111	chr5	OMIM:604040	RAD50-related Nijmegen breakage syndrome-like disorder	OMIM:613078	MONDO:0013118	autosomal_recessive	biallelic_autosomal	dna_damage_response	limited	2	limited	Refuted (familial ovarian cancer; AD; 2024-02-23)	485	PMID:19409520	DDG2P.publications	NBS-like disorder; DDG2P limited.
BRCA2	BRCC2|FACD|FAD|FAD1|FANCD|FANCD1|XRCC11	HGNC:1101	ENSG00000139618	675	chr13	OMIM:600185	BRCA2-related Fanconi anemia	OMIM:605724	MONDO:0011584	autosomal_recessive	biallelic_autosomal	fanconi_icl_repair	definitive	2	definitive	Definitive (Fanconi anemia complementation group D1; AR; 2019-04-19)	5661	PMID:12065746;PMID:14670928;PMID:15070707	DDG2P.publications	FA-D1; biallelic. Strong Wilms/embryonal tumour predisposition in children.
BRIP1	BACH1|FANCJ|OF	HGNC:20473	ENSG00000136492	83990	chr17	OMIM:605882	BRIP1-related Fanconi anemia	OMIM:609054	MONDO:0012187	autosomal_recessive	biallelic_autosomal	fanconi_icl_repair	definitive	2	definitive	Definitive (Fanconi anemia complementation group J; AR; 2019-08-18)	886	PMID:16116424	DDG2P.publications	FA-J; biallelic.
FANCA	FA-H|FAA|FACA|FAH|FANCH	HGNC:3582	ENSG00000187741	2175	chr16	OMIM:607139	FANCA-related Fanconi anemia	OMIM:227650	MONDO:0009215	autosomal_recessive	biallelic_autosomal	fanconi_icl_repair	definitive	2	definitive	Definitive (Fanconi anemia complementation group A; AR; 2019-04-19)	961	PMID:10090479;PMID:10431244;PMID:10862090;PMID:11091222;PMID:11344308;PMID:12447395;PMID:12827451;PMID:12955722;PMID:15162062;PMID:15522956;PMID:15523645;PMID:15643609;PMID:15917947;PMID:16532972;PMID:21519011;PMID:23898106;PMID:24689079;PMID:24704046;PMID:26799702;PMID:27121516;PMID:29098742;PMID:29269525;PMID:29400309;PMID:29702541;PMID:30032139;PMID:8896564;PMID:29904161	DDG2P.publications+phenotype.hpoa.reference	
FANCB	FAAP95|FAB|FLJ34064	HGNC:3583	ENSG00000181544	2187	chrX	OMIM:300515	FANCB-related Fanconi anemia	OMIM:300514	MONDO:0010351	x_linked	monoallelic_X_hemizygous	fanconi_icl_repair	definitive	2	definitive	Definitive (Fanconi anemia complementation group B; XL; 2022-12-30)	30	PMID:15502827;PMID:16679491;PMID:21910217;PMID:22052692;PMID:23613520;PMID:24584348;PMID:25168418;PMID:26683739;PMID:29193904;PMID:29232005;PMID:30792206;PMID:32106311;PMID:36135330	DDG2P.publications	X-linked; VACTERL-H presentation.
FANCC	FA3|FAC|FACC	HGNC:3584	ENSG00000158169	2176	chr9	OMIM:613899	FANCC-related Fanconi anemia	OMIM:227645	MONDO:0009213	autosomal_recessive	biallelic_autosomal	fanconi_icl_repair	definitive	2	definitive	Definitive (Fanconi anemia complementation group C; AR; 2019-04-19)	302	PMID:10431244;PMID:20869034;PMID:8348157;PMID:1574115;PMID:16429406;PMID:22701786;PMID:31044565;PMID:8128956	DDG2P.publications+phenotype.hpoa.reference	
