# Real gene-level constraint metrics from gnomAD.
#
# Source: gnomAD gene constraint metrics (gnomad.v4.1.constraint_metrics.tsv), downloaded from
#   https://storage.googleapis.com/gcp-public-data--gnomad/release/4.1/constraint/gnomad.v4.1.constraint_metrics.tsv
# Version: v4.1 (parsed from the source filename; the TSV body carries no version column)
# Retrieved: 2026-08-28
# Licence: public domain (CC0). gnomAD requests attribution/citation to the flagship publication wherever the data are used; no other restriction applies.
#   See https://gnomad.broadinstitute.org/policies
# Generator: tools/build_knowledge/build.py (uv run python -m tools.build_knowledge.build)
#
# One row per gene: gnomAD reports constraint per TRANSCRIPT, so for each gene the MANE Select transcript is preferred, then the canonical transcript, then the lexicographically smallest transcript ID (deterministic tie-break; mirrors mva.annotation.local_tables._consequence_sort_key). Only transcripts carrying an Ensembl gene ID (gene_id starting 'ENSG') are used, so ensembl_gene_id is always populated for an included gene; the gnomAD 'gene' value literally equal to 'NA' (its own missing-gene sentinel) is excluded entirely, not treated as a gene symbol.
#
# pli = lof.pLI, loeuf = lof.oe_ci.upper, mis_z = mis.z_score -- gnomAD's own high-confidence-pLoF-only ('lof.', not the merged 'lof_hc_lc.' set) and sample-size-calibrated ('z_score', not 'z_raw') columns: the same metrics gnomAD's browser shows on a gene's page. A gene with an insufficient expected-variant count for a metric ('NA' in the source) has an EMPTY cell here, NEVER 0 -- an empty LOEUF means unmeasured, not "extremely constrained" (GP-14).
# constraint_flags carries gnomAD's own QC flags for the selected transcript (e.g. no_exp_lof, outlier_mis), comma-separated; empty means no flag was set.
#
# KNOWN COVERAGE GAP in this download (found by inspecting the file, not assumed): it contains autosomal genes (chr1-chr22) ONLY. No chrX or chrY gene appears anywhere in the source (verified directly: e.g. DMD, AR, ATRX, ATP7A, BTK are entirely absent), and the mitochondrial genome has no nuclear-LOFTEE-style constraint model at all. A gene absent from this table may be real and clinically important -- absence here means "not covered by this gnomAD release/download," never "unconstrained."
#
# Accounting: 211523 transcript rows read, 802 with gnomAD's own 'NA' gene sentinel (excluded), 18203 distinct real gene symbols seen, 88 of those have no Ensembl-tagged transcript row at all and are excluded from this table: ADGRF2, ANP32C, BTNL10, C11orf40, C2orf83, C6orf201, C9orf163, C9orf47, CARD17, CENPBD1, CLECL1, CNPY3-GNMT, CRYZL2P-SEC16B, DNAJB3, EEF1AKNMT, ERV3-1-ZNF117, FAM207A, FOLH1B, GPR75-ASB3, KIAA0754, ... (68 more).
# 18115 genes included below.
gene_symbol	ensembl_gene_id	transcript_id	canonical	mane_select	pli	loeuf	mis_z	constraint_flags	source	version
ABCB10	ENSG00000135776	ENST00000344517	true	true	3.0297e-17	1.142	0.35076		gnomAD	v4.1
ABCB11	ENSG00000073734	ENST00000650372	true	true	9.5597e-15	0.739	1.2052		gnomAD	v4.1
ABCB4	ENSG00000005471	ENST00000649586	true	true	1.7893e-08	0.623	3.5556		gnomAD	v4.1
ABCB5	ENSG00000004846	ENST00000404938	true	true	2.1065e-45	1.178	-2.0603		gnomAD	v4.1
ABCB6	ENSG00000115657	ENST00000265316	true	true	2.0017e-25	0.984	0.90031		gnomAD	v4.1
ABCB8	ENSG00000197150	ENST00000358849	true	true	7.4398e-13	0.894	0.94868		gnomAD	v4.1
ABCB9	ENSG00000150967	ENST00000280560	true	true	2.9429e-07	0.796	1.0889		gnomAD	v4.1
ABCC1	ENSG00000103222	ENST00000399410	true	true	1.2436e-06	0.564	2.0321		gnomAD	v4.1
ABCC10	ENSG00000124574	ENST00000372530	true	true	1.7526e-29	0.894	2.2209		gnomAD	v4.1
ABCC11	ENSG00000121270	ENST00000356608	true	true	4.0979e-38	1.004	1.0742		gnomAD	v4.1
ABCC12	ENSG00000140798	ENST00000311303	true	true	9.7791e-42	1.022	1.2083		gnomAD	v4.1
ABCC2	ENSG00000023839	ENST00000647814	true	true	1.5473e-45	0.985	1.0363		gnomAD	v4.1
ABCC3	ENSG00000108846	ENST00000285238	true	true	2.7122e-28	0.831	1.2504		gnomAD	v4.1
ABCC4	ENSG00000125257	ENST00000645237	true	true	7.0811e-11	0.647	2.2737		gnomAD	v4.1
ABCC5	ENSG00000114770	ENST00000334444	true	true	0.99932	0.455	4.8355		gnomAD	v4.1
ABCC6	ENSG00000091262	ENST00000205557	true	true	1.2351e-33	0.917	1.031		gnomAD	v4.1
ABCC8	ENSG00000006071	ENST00000389817	true	true	9.5344e-33	0.829	2.8451		gnomAD	v4.1
ABCC9	ENSG00000069431	ENST00000261200	true	true	7.2745e-06	0.557	7.0369		gnomAD	v4.1
ABCD2	ENSG00000173208	ENST00000308666	true	true	7.7494e-05	0.714	2.3144		gnomAD	v4.1
ABCD3	ENSG00000117528	ENST00000370214	true	true	0.99014	0.484	2.4773		gnomAD	v4.1
ABCD4	ENSG00000119688	ENST00000356924	true	true	4.0217e-10	0.772	0.53147		gnomAD	v4.1
ABCE1	ENSG00000164163	ENST00000296577	true	true	0.99654	0.466	4.7629		gnomAD	v4.1
ABCF1	ENSG00000204574	ENST00000326195	true	true	7.1408e-12	0.69	3.375		gnomAD	v4.1
ABCF2	ENSG00000033050	ENST00000287844	true	true	0.0033779	0.61	3.7095		gnomAD	v4.1
ABCF2-H2BE1	ENSG00000285292	ENST00000222388	true	false	0.00031361	0.633	3.7028		gnomAD	v4.1
ABCF3	ENSG00000161204	ENST00000429586	true	true	1.1095e-12	0.776	1.3928		gnomAD	v4.1
ABCG1	ENSG00000160179	ENST00000398449	true	true	0.19578	0.573	2.327		gnomAD	v4.1
ABCG2	ENSG00000118777	ENST00000237612	true	true	5.0723e-29	1.308	0.50878		gnomAD	v4.1
ABCG4	ENSG00000172350	ENST00000619701	true	true	3.483e-05	0.694	3.3781		gnomAD	v4.1
ABCG5	ENSG00000138075	ENST00000405322	true	true	8.1322e-20	1.219	-1.0834		gnomAD	v4.1
ABCG8	ENSG00000143921	ENST00000272286	true	true	5.1931e-31	1.329	-2.6097		gnomAD	v4.1
ABHD1	ENSG00000143994	ENST00000316470	true	true	1.8338e-17	1.359	-0.31823		gnomAD	v4.1
ABHD10	ENSG00000144827	ENST00000273359	true	true	1.2175e-05	1.037	0.72923		gnomAD	v4.1
ABHD11	ENSG00000106077	ENST00000222800	true	true	1.8944e-08	1.194	0.96297		gnomAD	v4.1
ABHD12	ENSG00000100997	ENST00000339157	true	true	7.5081e-10	0.967	-0.50211		gnomAD	v4.1
ABHD12B	ENSG00000131969	ENST00000337334	true	true	5.0333e-12	1.148	-0.86724		gnomAD	v4.1
ABHD13	ENSG00000139826	ENST00000375898	true	true	0.97685	0.504	2.1696		gnomAD	v4.1
ABHD14A	ENSG00000248487	ENST00000273596	true	true	1.3328e-05	1.081	0.45437		gnomAD	v4.1
ABHD14A-ACY1	ENSG00000114786	ENST00000463937	true	false	5.9267e-13	0.949	0.93324		gnomAD	v4.1
ABHD14B	ENSG00000114779	ENST00000361143	true	true	7.686e-09	1.789	0.72101		gnomAD	v4.1
ABHD15	ENSG00000168792	ENST00000307201	true	true	2.9886e-13	1.479	-0.4131		gnomAD	v4.1
ABHD16A	ENSG00000204427	ENST00000395952	true	true	4.0184e-07	0.686	1.9771		gnomAD	v4.1
ABHD16B	ENSG00000183260	ENST00000369916	true	true	3.4725e-09	1.955	-2.7289		gnomAD	v4.1
ABHD17A	ENSG00000129968	ENST00000292577	true	true	0.21099	0.783	1.5027		gnomAD	v4.1
ABHD17B	ENSG00000107362	ENST00000333421	true	true	0.85835	0.579	2.777		gnomAD	v4.1
ABHD17C	ENSG00000136379	ENST00000258884	true	true	0.012876	0.919	2.0635		gnomAD	v4.1
ABHD18	ENSG00000164074	ENST00000645843	true	true	1.0028e-06	1.028	0.33876		gnomAD	v4.1
ABHD2	ENSG00000140526	ENST00000352732	true	true	0.5507	0.57	2.6532		gnomAD	v4.1
ABHD3	ENSG00000158201	ENST00000289119	true	true	2.0979e-15	1.211	0.059178		gnomAD	v4.1
ABHD4	ENSG00000100439	ENST00000428304	true	true	9.7984e-10	1.038	1.427		gnomAD	v4.1
ABHD5	ENSG00000011198	ENST00000644371	true	true	3.4236e-07	0.922	0.70878		gnomAD	v4.1
ABHD6	ENSG00000163686	ENST00000478253	true	true	1.7139e-08	1.067	1.0868		gnomAD	v4.1
ABHD8	ENSG00000127220	ENST00000247706	true	true	0.25012	0.664	0.98917		gnomAD	v4.1
ABI1	ENSG00000136754	ENST00000376140	true	true	0.9998	0.41	2.6994		gnomAD	v4.1
ABI2	ENSG00000138443	ENST00000261018	true	true	0.44932	0.585	1.8219		gnomAD	v4.1
ABI3	ENSG00000108798	ENST00000225941	true	true	2.651e-07	1.113	-0.38629		gnomAD	v4.1
ABI3BP	ENSG00000154175	ENST00000471714	true	true	9.7143e-43	0.945	0.56225		gnomAD	v4.1
ABITRAM	ENSG00000119328	ENST00000322940	true	true	8.0601e-05	1.175	0.19145		gnomAD	v4.1
ABL1	ENSG00000097007	ENST00000318560	true	true	1	0.19	4.2885		gnomAD	v4.1
ABL2	ENSG00000143322	ENST00000502732	true	true	0.0010035	0.578	2.4001		gnomAD	v4.1
ABLIM1	ENSG00000099204	ENST00000533213	true	true	0.69623	0.515	2.0405		gnomAD	v4.1
ABLIM2	ENSG00000163995	ENST00000447017	true	true	7.759e-10	0.743	0.27325		gnomAD	v4.1
ABLIM3	ENSG00000173210	ENST00000309868	true	true	7.7214e-10	0.691	1.5617		gnomAD	v4.1
ABO	ENSG00000175164	ENST00000611156	true	false	2.3242e-06	1.416	0.14459		gnomAD	v4.1
ABR	ENSG00000159842	ENST00000302538	true	true	0.99996	0.431	3.3628		gnomAD	v4.1
ABRA	ENSG00000174429	ENST00000311955	true	true	9.4717e-07	0.993	0.27635		gnomAD	v4.1
ABRACL	ENSG00000146386	ENST00000367660	true	true	0.11384	1.243	-0.091913		gnomAD	v4.1
ABRAXAS1	ENSG00000163322	ENST00000321945	true	true	4.4645e-05	1.347	0.29466		gnomAD	v4.1
ABRAXAS2	ENSG00000165660	ENST00000298492	true	true	0.43358	0.641	1.0646		gnomAD	v4.1
ABT1	ENSG00000146109	ENST00000274849	true	true	0.0001344	1.2	-0.53904		gnomAD	v4.1
ABTB1	ENSG00000114626	ENST00000232744	true	true	1.4524e-12	1.003	0.52501		gnomAD	v4.1
ABTB2	ENSG00000166016	ENST00000435224	true	true	3.5697e-10	0.733	0.66179		gnomAD	v4.1
ACAA1	ENSG00000060971	ENST00000333167	true	true	1.4146e-14	1.199	0.62215		gnomAD	v4.1
ACAA2	ENSG00000167315	ENST00000285093	true	true	1.964e-09	1.148	0.4051		gnomAD	v4.1
ACACA	ENSG00000278540	ENST00000616317	true	true	1	0.374	10.233		gnomAD	v4.1
ACACB	ENSG00000076555	ENST00000338432	true	true	2.7387e-49	0.843	3.1108		gnomAD	v4.1
ACAD10	ENSG00000111271	ENST00000313698	true	true	6.9671e-34	1.05	1.4698		gnomAD	v4.1
ACAD11	ENSG00000240303	ENST00000264990	true	true	1.1192e-17	1.01	0.77624		gnomAD	v4.1
ACAD8	ENSG00000151498	ENST00000281182	true	true	6.951e-14	1.11	0.88893		gnomAD	v4.1
ACAD9	ENSG00000177646	ENST00000308982	true	true	1.1413e-12	0.884	0.86095		gnomAD	v4.1
ACADL	ENSG00000115361	ENST00000233710	true	true	3.5387e-14	1.262	0.7051		gnomAD	v4.1
ACADM	ENSG00000117054	ENST00000370841	true	true	6.8458e-12	1.072	0.42409		gnomAD	v4.1
ACADS	ENSG00000122971	ENST00000242592	true	true	3.5192e-06	0.852	0.79366		gnomAD	v4.1
ACADSB	ENSG00000196177	ENST00000358776	true	true	7.245e-07	0.891	-0.10091		gnomAD	v4.1
ACADVL	ENSG00000072778	ENST00000356839	true	true	2.425e-22	1.077	0.10097		gnomAD	v4.1
ACAN	ENSG00000157766	ENST00000560601	true	true	1	0.377	0.32052		gnomAD	v4.1
ACAP1	ENSG00000072818	ENST00000158762	true	true	0.0020255	0.579	2.9491		gnomAD	v4.1
ACAP2	ENSG00000114331	ENST00000326793	true	true	0.99673	0.47	3.0871		gnomAD	v4.1
ACAP3	ENSG00000131584	ENST00000354700	true	true	1.638e-12	0.816	-1.9452	outlier_syn	gnomAD	v4.1
ACAT1	ENSG00000075239	ENST00000265838	true	true	0.00031856	0.798	1.0654		gnomAD	v4.1
ACAT2	ENSG00000120437	ENST00000367048	true	true	1.9103e-06	0.99	0.84893		gnomAD	v4.1
ACBD3	ENSG00000182827	ENST00000366812	true	true	0.0059197	0.634	1.1158		gnomAD	v4.1
ACBD4	ENSG00000181513	ENST00000321854	true	true	2.1826e-12	1.09	0.49605		gnomAD	v4.1
ACBD5	ENSG00000107897	ENST00000396271	true	true	2.2882e-06	0.734	1.6734		gnomAD	v4.1
ACBD6	ENSG00000230124	ENST00000367595	true	true	1.2278e-05	1.037	0.15707		gnomAD	v4.1
ACBD7	ENSG00000176244	ENST00000356189	true	true	0.00019634	1.515	-0.17382		gnomAD	v4.1
ACCS	ENSG00000110455	ENST00000263776	true	true	7.8032e-11	0.899	0.79116		gnomAD	v4.1
ACCSL	ENSG00000205126	ENST00000378832	true	true	4.2141e-15	1.037	1.3813		gnomAD	v4.1
ACD	ENSG00000102977	ENST00000620761	true	true	4.3134e-10	0.921	1.066		gnomAD	v4.1
ACE	ENSG00000159640	ENST00000290866	true	true	6.2381e-32	0.88	-0.50314		gnomAD	v4.1
ACER1	ENSG00000167769	ENST00000301452	true	true	1.3147e-11	1.411	0.10975		gnomAD	v4.1
ACER2	ENSG00000177076	ENST00000340967	true	true	1.4586e-07	1.155	-0.39921		gnomAD	v4.1
ACER3	ENSG00000078124	ENST00000532485	true	true	0.30464	0.815	0.87127		gnomAD	v4.1
ACHE	ENSG00000087085	ENST00000241069	true	true	0.81412	0.546	2.7525		gnomAD	v4.1
ACIN1	ENSG00000100813	ENST00000605057	true	true	1	0.15	2.7821		gnomAD	v4.1
ACKR1	ENSG00000213088	ENST00000368122	true	true	0.01936	1.841	-0.38415		gnomAD	v4.1
ACKR2	ENSG00000144648	ENST00000422265	true	true	0.11759	1.934	0.80443		gnomAD	v4.1
ACKR3	ENSG00000144476	ENST00000272928	true	true	0.98139	0.492	1.6942		gnomAD	v4.1
ACKR4	ENSG00000129048	ENST00000249887	true	true	0.12264	1.218	3.5586		gnomAD	v4.1
ACLY	ENSG00000131473	ENST00000352035	true	true	1	0.401	4.2591		gnomAD	v4.1
ACMSD	ENSG00000153086	ENST00000356140	true	true	1.8164e-08	1.063	0.12934		gnomAD	v4.1
ACO1	ENSG00000122729	ENST00000309951	true	true	1.5512e-14	0.839	2.1148		gnomAD	v4.1
ACO2	ENSG00000100412	ENST00000216254	true	true	0.98113	0.489	4.3358		gnomAD	v4.1
ACOD1	ENSG00000102794	ENST00000377462	true	true	0.0022454	1.53	1.0182		gnomAD	v4.1
ACOT1	ENSG00000184227	ENST00000311148	true	true	0.20157	1.531	2.9932		gnomAD	v4.1
ACOT11	ENSG00000162390	ENST00000343744	true	true	5.9289e-21	1.088	0.74673		gnomAD	v4.1
ACOT12	ENSG00000172497	ENST00000307624	true	true	4.8476e-13	0.92	-0.4157		gnomAD	v4.1
ACOT13	ENSG00000112304	ENST00000230048	true	true	0.00061171	1.452	0.31598		gnomAD	v4.1
ACOT2	ENSG00000119673	ENST00000238651	true	true	6.9664e-05	1.191	0.27326		gnomAD	v4.1
ACOT4	ENSG00000177465	ENST00000326303	true	true	9.9825e-06	1.586	0.05887		gnomAD	v4.1
ACOT6	ENSG00000205669	ENST00000645972	true	true	6.8e-08	1.96	-0.49539		gnomAD	v4.1
ACOT7	ENSG00000097021	ENST00000361521	true	true	0.99457	0.468	2.0883		gnomAD	v4.1
ACOT8	ENSG00000101473	ENST00000217455	true	true	5.8302e-10	1.096	1.1075		gnomAD	v4.1
ACOX1	ENSG00000161533	ENST00000293217	true	true	1.7103e-05	0.67	3.067		gnomAD	v4.1
ACOX2	ENSG00000168306	ENST00000302819	true	true	3.611e-16	0.914	1.0739		gnomAD	v4.1
ACOX3	ENSG00000087008	ENST00000356406	true	true	8.4687e-23	1.114	-0.086507		gnomAD	v4.1
ACOXL	ENSG00000153093	ENST00000439055	true	true	1.718e-23	1.239	0.8373		gnomAD	v4.1
ACP1	ENSG00000143727	ENST00000272065	true	true	1.4858e-07	1.547	0.26275		gnomAD	v4.1
ACP2	ENSG00000134575	ENST00000672073	true	true	1.017e-06	0.804	1.3402		gnomAD	v4.1
ACP3	ENSG00000014257	ENST00000336375	true	true	4.4344e-07	1.079	0.3975		gnomAD	v4.1
ACP4	ENSG00000142513	ENST00000270593	true	true	3.0241e-19	1.413	-0.72954		gnomAD	v4.1
ACP5	ENSG00000102575	ENST00000648477	true	true	8.6434e-08	1.14	1.4621		gnomAD	v4.1
ACP6	ENSG00000162836	ENST00000583509	true	true	1.4193e-16	1.313	0.665		gnomAD	v4.1
ACP7	ENSG00000183760	ENST00000331256	true	true	1.1195e-18	1.147	0.62811		gnomAD	v4.1
ACR	ENSG00000100312	ENST00000216139	true	true	0.00030852	0.943	1.291		gnomAD	v4.1
ACRBP	ENSG00000111644	ENST00000229243	true	true	6.8612e-13	0.911	1.2919		gnomAD	v4.1
ACRV1	ENSG00000134940	ENST00000533904	true	true	0.0023017	0.822	0.81692		gnomAD	v4.1
ACSBG1	ENSG00000103740	ENST00000258873	true	true	0.0031721	0.594	2.0511		gnomAD	v4.1
ACSBG2	ENSG00000130377	ENST00000588485	true	true	3.6935e-16	0.99	1.3583		gnomAD	v4.1
ACSF2	ENSG00000167107	ENST00000300441	true	true	6.4482e-12	0.844	1.8965		gnomAD	v4.1
ACSF3	ENSG00000176715	ENST00000614302	true	true	2.6577e-36	1.715	-2.0014		gnomAD	v4.1
ACSL1	ENSG00000151726	ENST00000281455	true	true	0.047811	0.555	2.1766		gnomAD	v4.1
ACSL3	ENSG00000123983	ENST00000357430	true	true	0.010744	0.605	2.5061		gnomAD	v4.1
ACSL5	ENSG00000197142	ENST00000354655	true	true	1.4483e-07	0.702	1.2545		gnomAD	v4.1
ACSL6	ENSG00000164398	ENST00000651883	true	true	0.0007987	0.584	2.3193		gnomAD	v4.1
ACSM1	ENSG00000166743	ENST00000520010	true	true	2.6229e-26	1.248	0.88969		gnomAD	v4.1
ACSM2A	ENSG00000183747	ENST00000573854	true	true	3.0224e-25	1.233	-0.029019		gnomAD	v4.1
ACSM2B	ENSG00000066813	ENST00000329697	true	true	1.3754e-15	0.956	0.094022		gnomAD	v4.1
ACSM3	ENSG00000005187	ENST00000289416	true	true	5.1473e-16	0.999	1.0961		gnomAD	v4.1
ACSM4	ENSG00000215009	ENST00000399422	true	true	1.0931e-19	1.072	1.1472		gnomAD	v4.1
ACSM5	ENSG00000183549	ENST00000331849	true	true	1.6829e-15	1.003	0.14866		gnomAD	v4.1
ACSM6	ENSG00000173124	ENST00000341686	true	false	1.3147e-07	0.912	1.4407		gnomAD	v4.1
ACSS1	ENSG00000154930	ENST00000323482	true	true	7.0052e-07	0.712	1.878		gnomAD	v4.1
ACSS2	ENSG00000131069	ENST00000360596	true	true	5.553e-10	0.785	1.6667		gnomAD	v4.1
ACSS3	ENSG00000111058	ENST00000548058	true	true	2.5819e-14	0.931	0.93209		gnomAD	v4.1
ACTA1	ENSG00000143632	ENST00000366684	true	true	3.1036e-06	0.931	6.0949		gnomAD	v4.1
ACTA2	ENSG00000107796	ENST00000224784	true	true	0.99431	0.472	4.6189		gnomAD	v4.1
ACTB	ENSG00000075624	ENST00000646664	true	true	1	0.193	7.6921		gnomAD	v4.1
ACTBL2	ENSG00000169067	ENST00000423391	true	true	1.9762e-12	1.624	-0.11385		gnomAD	v4.1
ACTC1	ENSG00000159251	ENST00000290378	true	true	0.97314	0.511	6.3225		gnomAD	v4.1
ACTG1	ENSG00000184009	ENST00000573283	true	true	0.45871	0.617	4.8895	outlier_syn	gnomAD	v4.1
ACTG2	ENSG00000163017	ENST00000345517	true	true	0.28166	0.626	4.3554		gnomAD	v4.1
ACTL10	ENSG00000288649	ENST00000677665	true	true	0.0027436	1.947	-1.4842		gnomAD	v4.1
ACTL6A	ENSG00000136518	ENST00000429709	true	true	1	0.186	3.6318		gnomAD	v4.1
ACTL6B	ENSG00000077080	ENST00000160382	true	true	9.6229e-13	0.954	3.3742		gnomAD	v4.1
ACTL7A	ENSG00000187003	ENST00000333999	true	true	1.0553e-08	1.182	0.52133		gnomAD	v4.1
ACTL7B	ENSG00000148156	ENST00000374667	true	true	1.8885e-07	1.414	-0.60995		gnomAD	v4.1
